## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8272e+00   1.0374e+00   6.3763e-01   7.6826e-03   1.0727e+04   6.2178e+04
  3.5313e+00   3.5618e+00   1.2684e+00   6.3715e-01   6.4250e-03   1.5337e+04   9.0716e+04
  4.4457e+00   4.4850e+00   1.4988e+00   6.3946e-01   5.3903e-03   2.1790e+04   1.3228e+05
  5.5968e+00   5.6514e+00   1.7300e+00   6.3947e-01   4.4583e-03   3.1853e+04   1.9273e+05
  7.0460e+00   7.1104e+00   1.9597e+00   6.4107e-01   3.7087e-03   4.6030e+04   2.8040e+05
  8.8703e+00   8.9610e+00   2.1910e+00   6.3826e-01   3.0577e-03   6.7718e+04   4.0706e+05
  1.1167e+01   1.1268e+01   2.4200e+00   6.3844e-01   2.4799e-03   1.0295e+05   6.0810e+05
  1.4059e+01   1.4167e+01   2.6489e+00   6.3968e-01   2.1156e-03   1.4145e+05   8.6009e+05
  1.7699e+01   1.7911e+01   2.8834e+00   6.3824e-01   1.7384e-03   2.0950e+05   1.2636e+06
  2.2281e+01   2.2473e+01   3.1104e+00   6.3915e-01   1.3772e-03   3.3382e+05   1.9880e+06
  2.8050e+01   2.8334e+01   3.3420e+00   6.3936e-01   1.1590e-03   4.7128e+05   2.8271e+06
  3.5313e+01   3.5618e+01   3.5708e+00   6.4002e-01   9.6463e-04   6.8039e+05   4.0798e+06
  4.4457e+01   4.4778e+01   3.7997e+00   6.4033e-01   8.0648e-04   9.7341e+05   5.7889e+06
  5.5968e+01   5.6431e+01   4.0310e+00   6.3944e-01   6.9129e-04   1.3248e+06   7.8772e+06
  7.0460e+01   7.0937e+01   4.2598e+00   6.3869e-01   5.9649e-04   1.7794e+06   1.0378e+07
  8.8703e+01   8.9331e+01   4.4903e+00   6.3818e-01   5.3011e-04   2.2529e+06   1.3040e+07
  1.1167e+02   1.1282e+02   4.7237e+00   6.3774e-01   4.4840e-04   3.1488e+06   1.8384e+07
  1.4059e+02   1.4206e+02   4.9541e+00   6.3682e-01   3.6660e-04   4.7109e+06   2.8229e+07
  1.7699e+02   1.7872e+02   5.1837e+00   6.3656e-01   2.9339e-04   7.3550e+06   4.3517e+07
  2.2281e+02   2.2350e+02   5.4073e+00   6.3660e-01   2.6448e-04   9.0512e+06   5.2894e+07
