## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 68045521.25199051}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8328e+00   1.0394e+00  -9.3428e-03   6.8860e-03   8.5896e+03   8.6706e+03   5.3765e+04
  3.5313e+00   3.5672e+00   1.2699e+00  -2.1594e-02   5.5253e-03   1.3176e+04   1.3467e+04   8.2069e+04
  4.4457e+00   4.4954e+00   1.5012e+00  -7.3028e-03   4.4057e-03   2.1027e+04   2.1181e+04   1.3047e+05
  5.5968e+00   5.6525e+00   1.7302e+00   2.2863e-04   3.4997e-03   3.3575e+04   3.3567e+04   2.0616e+05
  7.0460e+00   7.1196e+00   1.9610e+00  -1.0371e-02   2.8088e-03   5.1573e+04   5.2114e+04   3.2130e+05
  8.8703e+00   8.9708e+00   2.1921e+00  -1.4315e-02   2.2360e-03   8.1051e+04   8.2228e+04   5.0637e+05
  1.1167e+01   1.1285e+01   2.4216e+00   6.4775e-05   1.7752e-03   1.3047e+05   1.3046e+05   8.0926e+05
  1.4059e+01   1.4209e+01   2.6519e+00  -1.9025e-02   1.4203e-03   1.9994e+05   2.0382e+05   1.2432e+06
  1.7699e+01   1.7884e+01   2.8820e+00  -2.5400e-02   1.1356e-03   3.1072e+05   3.1882e+05   1.9319e+06
  2.2281e+01   2.2513e+01   3.1122e+00  -2.6023e-02   9.1191e-04   4.8153e+05   4.9440e+05   2.9984e+06
  2.8050e+01   2.8345e+01   3.3425e+00  -2.3415e-02   7.3543e-04   7.4234e+05   7.6014e+05   4.6326e+06
  3.5313e+01   3.5658e+01   3.5720e+00  -3.2621e-02   5.9554e-04   1.1214e+06   1.1592e+06   7.0875e+06
  4.4457e+01   4.4891e+01   3.8022e+00  -3.8693e-02   4.8634e-04   1.6710e+06   1.7382e+06   1.0584e+07
  5.5968e+01   5.6494e+01   4.0321e+00  -3.9791e-02   3.9981e-04   2.4697e+06   2.5721e+06   1.5575e+07
  7.0460e+01   7.1124e+01   4.2624e+00  -4.0171e-02   3.3190e-04   3.5823e+06   3.7322e+06   2.2464e+07
  8.8703e+01   8.9467e+01   4.4919e+00  -3.3555e-02   2.7948e-04   5.0869e+06   5.2635e+06   3.1994e+07
  1.1167e+02   1.1264e+02   4.7222e+00  -2.0179e-02   2.3799e-04   7.1122e+06   7.2587e+06   4.4377e+07
  1.4059e+02   1.4178e+02   4.9522e+00  -1.2813e-02   2.0128e-04   1.0018e+07   1.0148e+07   6.2268e+07
  1.7699e+02   1.7827e+02   5.1812e+00  -1.0090e-02   1.7148e-04   1.3840e+07   1.3981e+07   8.6150e+07
  2.2281e+02   2.2212e+02   5.4011e+00   4.7159e-02   1.7499e-04   1.4059e+07   1.3426e+07   8.6683e+07
