## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 1422926644.3686001}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8336e+00   1.0397e+00   2.2307e-02   2.7569e-03   5.8842e+04   5.7558e+04   3.7104e+05
  3.5313e+00   3.5681e+00   1.2702e+00   1.0314e-02   2.2064e-03   9.0788e+04   8.9862e+04   5.7645e+05
  4.4457e+00   4.4917e+00   1.5004e+00   3.5548e-03   1.7661e-03   1.4075e+05   1.4025e+05   8.9451e+05
  5.5968e+00   5.6554e+00   1.7307e+00  -4.4760e-03   1.4088e-03   2.1944e+05   2.2042e+05   1.4033e+06
  7.0460e+00   7.1210e+00   1.9612e+00  -5.0530e-03   1.1246e-03   3.4415e+05   3.4590e+05   2.1927e+06
  8.8703e+00   8.9657e+00   2.1915e+00  -2.0660e-03   8.9829e-04   5.4102e+05   5.4214e+05   3.4370e+06
  1.1167e+01   1.1285e+01   2.4216e+00  -4.4368e-03   7.1530e-04   8.5122e+05   8.5501e+05   5.4072e+06
  1.4059e+01   1.4209e+01   2.6520e+00  -2.7725e-03   5.7140e-04   1.3362e+06   1.3399e+06   8.4491e+06
  1.7699e+01   1.7886e+01   2.8821e+00  -5.7952e-03   4.5615e-04   2.0903e+06   2.1025e+06   1.3208e+07
  2.2281e+01   2.2520e+01   3.1125e+00  -3.7210e-03   3.6394e-04   3.2906e+06   3.3028e+06   2.0736e+07
  2.8050e+01   2.8358e+01   3.3429e+00   6.2753e-03   2.9086e-04   5.2035e+06   5.1711e+06   3.2600e+07
  3.5313e+01   3.5695e+01   3.5730e+00   7.9932e-03   2.3190e-04   8.1997e+06   8.1346e+06   5.1385e+07
  4.4457e+01   4.4923e+01   3.8030e+00   8.6630e-03   1.8500e-04   1.2893e+07   1.2782e+07   8.0614e+07
  5.5968e+01   5.6560e+01   4.0333e+00   1.0266e-02   1.4805e-04   2.0164e+07   1.9959e+07   1.2563e+08
  7.0460e+01   7.1206e+01   4.2636e+00   8.0194e-03   1.1860e-04   3.1350e+07   3.1101e+07   1.9517e+08
  8.8703e+01   8.9630e+01   4.4937e+00   8.3514e-03   9.5226e-05   4.8646e+07   4.8243e+07   3.0317e+08
  1.1167e+02   1.1282e+02   4.7238e+00   6.9734e-03   7.6801e-05   7.4684e+07   7.4167e+07   4.6812e+08
  1.4059e+02   1.4210e+02   4.9545e+00   4.5413e-03   6.1455e-05   1.1636e+08   1.1583e+08   7.3259e+08
  1.7699e+02   1.7866e+02   5.1835e+00   1.0403e-02   4.9899e-05   1.7752e+08   1.7569e+08   1.1120e+09
  2.2281e+02   2.2441e+02   5.4115e+00   5.2949e-03   4.2593e-05   2.4242e+08   2.4114e+08   1.5185e+09
