## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 129427297.52827646}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8282e+00   1.0378e+00   3.0521e-02   7.5586e-03   7.9747e+03   7.7385e+03   4.6528e+04
  3.5313e+00   3.5623e+00   1.2686e+00   3.7165e-02   6.2382e-03   1.1783e+04   1.1361e+04   6.7668e+04
  4.4457e+00   4.4868e+00   1.4993e+00   1.9058e-02   5.1368e-03   1.7075e+04   1.6755e+04   9.9371e+04
  5.5968e+00   5.6507e+00   1.7299e+00   2.5400e-02   4.2536e-03   2.5056e+04   2.4435e+04   1.4650e+05
  7.0460e+00   7.1138e+00   1.9601e+00   1.3471e-03   3.5169e-03   3.5793e+04   3.5745e+04   2.0978e+05
  8.8703e+00   8.9710e+00   2.1921e+00  -4.0140e-03   2.8599e-03   5.3838e+04   5.4055e+04   3.1742e+05
  1.1167e+01   1.1273e+01   2.4205e+00  -1.4899e-02   2.2205e-03   8.8334e+04   8.9670e+04   5.2190e+05
  1.4059e+01   1.4203e+01   2.6515e+00  -4.4552e-02   1.8060e-03   1.2951e+05   1.3555e+05   7.8510e+05
  1.7699e+01   1.7899e+01   2.8828e+00  -4.1207e-02   1.4645e-03   1.9764e+05   2.0613e+05   1.1938e+06
  2.2281e+01   2.2481e+01   3.1107e+00  -3.3323e-02   1.1669e-03   3.1385e+05   3.2467e+05   1.8949e+06
  2.8050e+01   2.8392e+01   3.3441e+00  -2.7429e-02   9.4371e-04   4.8281e+05   4.9643e+05   2.8858e+06
  3.5313e+01   3.5650e+01   3.5718e+00  -1.1043e-02   7.5454e-04   7.6798e+05   7.7656e+05   4.5503e+06
  4.4457e+01   4.4905e+01   3.8026e+00   1.4370e-03   6.0444e-04   1.2119e+06   1.2101e+06   7.1396e+06
  5.5968e+01   5.6531e+01   4.0328e+00  -5.3140e-03   4.8940e-04   1.8361e+06   1.8459e+06   1.0944e+07
  7.0460e+01   7.1202e+01   4.2635e+00   4.0035e-03   3.9838e-04   2.7970e+06   2.7858e+06   1.6672e+07
  8.8703e+01   8.9552e+01   4.4928e+00   1.2651e-03   3.2362e-04   4.2269e+06   4.2215e+06   2.5443e+07
  1.1167e+02   1.1292e+02   4.7247e+00   7.8341e-03   2.6162e-04   6.5102e+06   6.4596e+06   3.9277e+07
  1.4059e+02   1.4195e+02   4.9535e+00  -7.7721e-04   2.1184e-04   9.8446e+06   9.8523e+06   5.9253e+07
  1.7699e+02   1.7853e+02   5.1827e+00   3.7114e-03   1.7571e-04   1.4373e+07   1.4320e+07   8.6795e+07
  2.2281e+02   2.2465e+02   5.4125e+00   1.7517e-02   1.5040e-04   1.9887e+07   1.9544e+07   1.1932e+08
