## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 7319402.495020169}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8237e+00   1.0362e+00   1.3186e-01   3.2516e-02   4.3815e+02   3.8710e+02   2.2020e+03
  3.5313e+00   3.5471e+00   1.2642e+00   4.0740e-01   3.0378e-02   6.2418e+02   4.4350e+02   2.8660e+03
  4.4457e+00   4.4757e+00   1.4967e+00   3.4696e-01   2.6846e-02   7.6493e+02   5.6789e+02   3.5820e+03
  5.5968e+00   5.6319e+00   1.7264e+00   2.5495e-01   2.4371e-02   8.6474e+02   6.8906e+02   4.3570e+03
  7.0460e+00   7.0681e+00   1.9536e+00   1.5669e-01   2.1880e-02   9.8888e+02   8.5493e+02   5.0520e+03
  8.8703e+00   8.9587e+00   2.1909e+00   2.9603e-02   1.7596e-02   1.3610e+03   1.3218e+03   7.7610e+03
  1.1167e+01   1.1220e+01   2.4158e+00  -3.6191e-02   1.4720e-02   1.8206e+03   1.8890e+03   1.0959e+04
  1.4059e+01   1.4098e+01   2.6441e+00   5.9067e-02   1.4378e-02   2.0969e+03   1.9799e+03   1.3007e+04
  1.7699e+01   1.8024e+01   2.8900e+00   5.5268e-02   1.1827e-02   3.0878e+03   2.9261e+03   1.7999e+04
  2.2281e+01   2.2524e+01   3.1127e+00   9.0741e-02   8.3484e-03   6.4052e+03   5.8723e+03   3.4708e+04
  2.8050e+01   2.8504e+01   3.3482e+00   2.1918e-01   7.1409e-03   9.7856e+03   8.0263e+03   5.0828e+04
  3.5313e+01   3.5345e+01   3.5632e+00   2.3042e-01   6.1316e-03   1.3394e+04   1.0886e+04   7.0889e+04
  4.4457e+01   4.4609e+01   3.7959e+00   2.1493e-02   5.0516e-03   1.6383e+04   1.6038e+04   9.7486e+04
  5.5968e+01   5.6603e+01   4.0339e+00  -2.7983e-03   3.9519e-03   2.6133e+04   2.6206e+04   1.5618e+05
  7.0460e+01   7.1438e+01   4.2670e+00   1.9366e-01   3.1757e-03   4.8443e+04   4.0584e+04   2.4226e+05
  8.8703e+01   8.9577e+01   4.4932e+00   2.4571e-01   2.5443e-03   7.8759e+04   6.3224e+04   3.8603e+05
  1.1167e+02   1.1312e+02   4.7264e+00   1.7396e-01   1.9270e-03   1.2939e+05   1.1022e+05   6.7774e+05
  1.4059e+02   1.4329e+02   4.9628e+00   2.1646e-02   1.2667e-03   2.6062e+05   2.5510e+05   1.4628e+06
  1.7699e+02   1.8031e+02   5.1927e+00   3.5189e-02   7.9705e-04   6.6692e+05   6.4425e+05   3.7204e+06
  2.2281e+02   2.2533e+02   5.4155e+00   1.5785e-02   5.7649e-04   1.2509e+06   1.2315e+06   7.2636e+06
