## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8320e+00   1.0391e+00   6.2977e-01   4.1351e-03   3.4694e+04   1.7312e+05
  3.5313e+00   3.5675e+00   1.2700e+00   6.3111e-01   3.3216e-03   5.3768e+04   2.6816e+05
  4.4457e+00   4.4917e+00   1.5004e+00   6.3124e-01   2.6665e-03   8.3433e+04   4.1900e+05
  5.5968e+00   5.6555e+00   1.7307e+00   6.2895e-01   2.1390e-03   1.2966e+05   6.5226e+05
  7.0460e+00   7.1199e+00   1.9610e+00   6.2970e-01   1.7171e-03   2.0121e+05   1.0156e+06
  8.8703e+00   8.9654e+00   2.1915e+00   6.2895e-01   1.3761e-03   3.1328e+05   1.5866e+06
  1.1167e+01   1.1284e+01   2.4214e+00   6.2803e-01   1.1007e-03   4.8968e+05   2.4839e+06
  1.4059e+01   1.4208e+01   2.6519e+00   6.2937e-01   8.7663e-04   7.7197e+05   3.9067e+06
  1.7699e+01   1.7885e+01   2.8820e+00   6.2904e-01   7.0276e-04   1.2012e+06   6.1183e+06
  2.2281e+01   2.2513e+01   3.1121e+00   6.2940e-01   5.6135e-04   1.8826e+06   9.5877e+06
  2.8050e+01   2.8343e+01   3.3424e+00   6.2907e-01   4.5343e-04   2.8855e+06   1.4818e+07
  3.5313e+01   3.5683e+01   3.5727e+00   6.2947e-01   3.6452e-04   4.4647e+06   2.3001e+07
  4.4457e+01   4.4939e+01   3.8033e+00   6.2965e-01   2.9171e-04   6.9717e+06   3.5933e+07
  5.5968e+01   5.6553e+01   4.0332e+00   6.2968e-01   2.3457e-04   1.0782e+07   5.5701e+07
  7.0460e+01   7.1154e+01   4.2629e+00   6.3032e-01   1.8981e-04   1.6466e+07   8.5483e+07
  8.8703e+01   8.9546e+01   4.4928e+00   6.3195e-01   1.5575e-04   2.4455e+07   1.2809e+08
  1.1167e+02   1.1269e+02   4.7227e+00   6.3314e-01   1.2923e-04   3.5522e+07   1.8750e+08
  1.4059e+02   1.4167e+02   4.9515e+00   6.3583e-01   1.0938e-04   4.9588e+07   2.6214e+08
  1.7699e+02   1.7833e+02   5.1816e+00   6.3888e-01   9.4699e-05   6.6152e+07   3.4879e+08
  2.2281e+02   2.2445e+02   5.4116e+00   6.4177e-01   8.3133e-05   8.5838e+07   4.5091e+08
