## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8307e+00   1.0386e+00   6.3371e-01   5.3059e-03   2.2101e+04   1.2265e+05
  3.5313e+00   3.5655e+00   1.2694e+00   6.3772e-01   4.3378e-03   3.3067e+04   1.8231e+05
  4.4457e+00   4.4895e+00   1.4999e+00   6.3525e-01   3.5678e-03   4.8879e+04   2.6992e+05
  5.5968e+00   5.6514e+00   1.7300e+00   6.3673e-01   2.8921e-03   7.4386e+04   4.0850e+05
  7.0460e+00   7.1162e+00   1.9605e+00   6.3606e-01   2.3412e-03   1.1351e+05   6.2251e+05
  8.8703e+00   8.9661e+00   2.1915e+00   6.3668e-01   1.8863e-03   1.7487e+05   9.7234e+05
  1.1167e+01   1.1278e+01   2.4209e+00   6.3742e-01   1.5114e-03   2.7239e+05   1.5258e+06
  1.4059e+01   1.4194e+01   2.6509e+00   6.3560e-01   1.2355e-03   4.0762e+05   2.2873e+06
  1.7699e+01   1.7906e+01   2.8832e+00   6.3489e-01   9.9267e-04   6.3141e+05   3.5329e+06
  2.2281e+01   2.2498e+01   3.1115e+00   6.3545e-01   7.8681e-04   1.0050e+06   5.6130e+06
  2.8050e+01   2.8357e+01   3.3429e+00   6.3614e-01   6.3944e-04   1.5217e+06   8.5464e+06
  3.5313e+01   3.5683e+01   3.5727e+00   6.3634e-01   5.1288e-04   2.3653e+06   1.3298e+07
  4.4457e+01   4.4913e+01   3.8027e+00   6.3630e-01   4.1075e-04   3.6879e+06   2.0835e+07
  5.5968e+01   5.6524e+01   4.0327e+00   6.3544e-01   3.3118e-04   5.6728e+06   3.2265e+07
  7.0460e+01   7.1139e+01   4.2626e+00   6.3632e-01   2.7089e-04   8.4786e+06   4.8271e+07
  8.8703e+01   8.9585e+01   4.4932e+00   6.3654e-01   2.2175e-04   1.2653e+07   7.2165e+07
  1.1167e+02   1.1286e+02   4.7242e+00   6.3656e-01   1.7723e-04   1.9808e+07   1.1215e+08
  1.4059e+02   1.4193e+02   4.9533e+00   6.3669e-01   1.4539e-04   2.9433e+07   1.6693e+08
  1.7699e+02   1.7876e+02   5.1840e+00   6.3708e-01   1.1892e-04   4.3998e+07   2.5092e+08
  2.2281e+02   2.2491e+02   5.4137e+00   6.3779e-01   9.7089e-05   6.6005e+07   3.7377e+08
