## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8282e+00   1.0378e+00   1.5744e-03  -5.1947e-04   2.0148e-03   7.9747e+03   4.6528e+04
  3.5313e+00   3.5623e+00   1.2686e+00   2.2938e-04   7.5209e-04   1.6575e-03   1.1783e+04   6.7668e+04
  4.4457e+00   4.4868e+00   1.4993e+00   3.2971e-04  -4.5951e-04   1.3770e-03   1.7075e+04   9.9371e+04
  5.5968e+00   5.6507e+00   1.7299e+00   8.2008e-04   4.0626e-05   1.1367e-03   2.5056e+04   1.4650e+05
  7.0460e+00   7.1138e+00   1.9601e+00   3.6669e-04   1.9562e-04   9.5104e-04   3.5793e+04   2.0978e+05
  8.8703e+00   8.9710e+00   2.1921e+00   7.3706e-04  -9.3037e-04   7.7545e-04   5.3838e+04   3.1742e+05
  1.1167e+01   1.1273e+01   2.4205e+00   2.6924e-04   5.5160e-05   6.0539e-04   8.8334e+04   5.2190e+05
  1.4059e+01   1.4203e+01   2.6515e+00  -2.9883e-04   1.5459e-04   4.9997e-04   1.2951e+05   7.8510e+05
  1.7699e+01   1.7899e+01   2.8828e+00  -4.6255e-04   3.4577e-04   4.0473e-04   1.9764e+05   1.1938e+06
  2.2281e+01   2.2481e+01   3.1107e+00   8.5984e-05   1.6741e-04   3.2117e-04   3.1385e+05   1.8949e+06
  2.8050e+01   2.8392e+01   3.3441e+00  -2.5964e-05   5.3577e-04   2.5895e-04   4.8281e+05   2.8858e+06
  3.5313e+01   3.5650e+01   3.5718e+00  -3.9614e-04  -3.8923e-04   2.0532e-04   7.6798e+05   4.5503e+06
  4.4457e+01   4.4905e+01   3.8026e+00   1.5824e-04  -1.6173e-04   1.6344e-04   1.2119e+06   7.1396e+06
  5.5968e+01   5.6531e+01   4.0328e+00   2.9843e-04   1.0821e-04   1.3279e-04   1.8361e+06   1.0944e+07
  7.0460e+01   7.1202e+01   4.2635e+00  -8.5002e-06  -8.3170e-05   1.0759e-04   2.7970e+06   1.6672e+07
  8.8703e+01   8.9552e+01   4.4928e+00   9.1119e-06  -6.4063e-05   8.7516e-05   4.2269e+06   2.5443e+07
  1.1167e+02   1.1292e+02   4.7247e+00   1.1800e-04  -4.3829e-05   7.0518e-05   6.5102e+06   3.9277e+07
  1.4059e+02   1.4195e+02   4.9535e+00   1.3185e-04  -1.2499e-04   5.7345e-05   9.8446e+06   5.9253e+07
  1.7699e+02   1.7853e+02   5.1827e+00   1.3224e-04  -2.8754e-04   4.7459e-05   1.4373e+07   8.6795e+07
  2.2281e+02   2.2465e+02   5.4125e+00  -2.2932e-04  -2.9244e-04   4.0348e-05   1.9887e+07   1.1932e+08
