## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8324e+00   1.0392e+00   6.6104e-01   4.7866e-03   2.9855e+04   1.7861e+05
  3.5313e+00   3.5661e+00   1.2696e+00   6.5792e-01   3.8447e-03   4.6275e+04   2.7750e+05
  4.4457e+00   4.4912e+00   1.5002e+00   6.5312e-01   3.0969e-03   7.1322e+04   4.2643e+05
  5.5968e+00   5.6534e+00   1.7304e+00   6.5525e-01   2.5021e-03   1.0926e+05   6.5632e+05
  7.0460e+00   7.1183e+00   1.9608e+00   6.5440e-01   2.0174e-03   1.6806e+05   1.0122e+06
  8.8703e+00   8.9660e+00   2.1915e+00   6.5448e-01   1.6147e-03   2.6237e+05   1.5764e+06
  1.1167e+01   1.1283e+01   2.4213e+00   6.5413e-01   1.2889e-03   4.1175e+05   2.4758e+06
  1.4059e+01   1.4201e+01   2.6514e+00   6.5350e-01   1.0363e-03   6.3690e+05   3.8322e+06
  1.7699e+01   1.7890e+01   2.8823e+00   6.5337e-01   8.3240e-04   9.8721e+05   5.9299e+06
  2.2281e+01   2.2507e+01   3.1119e+00   6.5353e-01   6.6709e-04   1.5371e+06   9.2234e+06
  2.8050e+01   2.8344e+01   3.3424e+00   6.5392e-01   5.3939e-04   2.3510e+06   1.4185e+07
  3.5313e+01   3.5662e+01   3.5721e+00   6.5347e-01   4.3704e-04   3.5812e+06   2.1700e+07
  4.4457e+01   4.4890e+01   3.8022e+00   6.5352e-01   3.5462e-04   5.4393e+06   3.2922e+07
  5.5968e+01   5.6518e+01   4.0325e+00   6.5348e-01   2.8927e-04   8.1748e+06   4.9773e+07
  7.0460e+01   7.1160e+01   4.2629e+00   6.5348e-01   2.3535e-04   1.2349e+07   7.5404e+07
  8.8703e+01   8.9594e+01   4.4933e+00   6.5419e-01   1.9095e-04   1.8759e+07   1.1399e+08
  1.1167e+02   1.1288e+02   4.7243e+00   6.5352e-01   1.5298e-04   2.9228e+07   1.7501e+08
  1.4059e+02   1.4217e+02   4.9550e+00   6.5234e-01   1.2132e-04   4.6477e+07   2.7638e+08
  1.7699e+02   1.7896e+02   5.1852e+00   6.5037e-01   9.5592e-05   7.4857e+07   4.4323e+08
  2.2281e+02   2.2488e+02   5.4135e+00   6.4995e-01   7.8030e-05   1.1234e+08   6.6649e+08
