## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8322e+00   1.0392e+00   6.4365e-01   2.8712e-03   7.8556e+04   4.3476e+05
  3.5313e+00   3.5684e+00   1.2703e+00   6.4326e-01   2.3131e-03   1.2104e+05   6.7326e+05
  4.4457e+00   4.4920e+00   1.5004e+00   6.4309e-01   1.8528e-03   1.8865e+05   1.0526e+06
  5.5968e+00   5.6559e+00   1.7308e+00   6.4257e-01   1.4854e-03   2.9351e+05   1.6459e+06
  7.0460e+00   7.1204e+00   1.9611e+00   6.4167e-01   1.1871e-03   4.5953e+05   2.5693e+06
  8.8703e+00   8.9644e+00   2.1914e+00   6.4234e-01   9.4962e-04   7.1813e+05   4.0271e+06
  1.1167e+01   1.1284e+01   2.4215e+00   6.4341e-01   7.5802e-04   1.1271e+06   6.3408e+06
  1.4059e+01   1.4207e+01   2.6518e+00   6.4312e-01   6.0741e-04   1.7552e+06   9.9048e+06
  1.7699e+01   1.7892e+01   2.8824e+00   6.4236e-01   4.8342e-04   2.7711e+06   1.5585e+07
  2.2281e+01   2.2522e+01   3.1125e+00   6.4262e-01   3.8431e-04   4.3846e+06   2.4682e+07
  2.8050e+01   2.8353e+01   3.3428e+00   6.4262e-01   3.0605e-04   6.9139e+06   3.8969e+07
  3.5313e+01   3.5693e+01   3.5730e+00   6.4292e-01   2.4386e-04   1.0890e+07   6.1514e+07
  4.4457e+01   4.4934e+01   3.8032e+00   6.4271e-01   1.9445e-04   1.7128e+07   9.6706e+07
  5.5968e+01   5.6580e+01   4.0336e+00   6.4283e-01   1.5470e-04   2.7061e+07   1.5289e+08
  7.0460e+01   7.1225e+01   4.2638e+00   6.4264e-01   1.2322e-04   4.2652e+07   2.4115e+08
  8.8703e+01   8.9680e+01   4.4942e+00   6.4285e-01   9.8004e-05   6.7425e+07   3.8098e+08
  1.1167e+02   1.1293e+02   4.7248e+00   6.4252e-01   7.7670e-05   1.0735e+08   6.0512e+08
  1.4059e+02   1.4211e+02   4.9546e+00   6.4251e-01   6.1482e-05   1.7132e+08   9.6357e+08
  1.7699e+02   1.7884e+02   5.1845e+00   6.4276e-01   4.9272e-05   2.6675e+08   1.5047e+09
  2.2281e+02   2.2469e+02   5.4127e+00   6.4288e-01   4.0877e-05   3.8757e+08   2.1959e+09
